,종목코드,종목명,종류
397,007690,국도화학,KOSPI
398,007700,F&F;,KOSPI
399,007720,대명코퍼레이션,KOSDAQ
400,007770,한일화학,KOSDAQ
401,007810,코리아써키트,KOSPI
402,007815,코리아써우,KOSPI
403,00781K,코리아써키트2우B,KOSPI
404,007820,에스엠코어,KOSDAQ
405,007860,한일이화,KOSPI
406,007980,태평양물산,KOSPI
407,008000,웅진케미칼,KOSPI
408,008040,사조동아원,KOSPI
409,008060,대덕전자,KOSPI
410,008110,대동전자,KOSPI
411,008250,이건산업,KOSPI
412,008260,NI스틸,KOSPI
413,008290,원풍물산,KOSDAQ
414,008350,남선알미늄,KOSPI
415,008355,남선알미우,KOSPI
416,008370,원풍,KOSDAQ
417,008420,문배철강,KOSPI
418,008470,부스타,KOSDAQ
419,008490,서흥캅셀,KOSPI
420,008500,일정실업,KOSPI
421,008560,메리츠종금증권,KOSPI
422,008600,윌비스,KOSPI
423,008700,아남전자,KOSPI
424,008730,율촌화학,KOSPI
425,008770,호텔신라,KOSPI
426,008775,호텔신라우,KOSPI
427,008800,행남자기,KOSDAQ
428,008830,대동기어,KOSDAQ
429,008870,금비,KOSPI
430,008930,한미사이언스,KOSPI
431,008970,동양철관,KOSPI
432,009070,KCTC,KOSPI
433,009140,경인전자,KOSPI
434,009150,삼성전기,KOSPI
435,009155,삼성전기우,KOSPI
436,009160,SIMPAC,KOSPI
437,009180,한솔CSN,KOSPI
438,009190,대양금속,KOSPI
439,009200,무림페이퍼,KOSPI
440,009240,한샘,KOSPI
441,009270,신원,KOSPI
442,009275,신원우,KOSPI
443,009290,광동제약,KOSPI
444,009300,삼아제약,KOSDAQ
445,009310,참엔지니어링,KOSPI
446,009320,대우부품,KOSPI
447,009410,태영건설,KOSPI
448,009415,태영건설우,KOSPI
449,009420,한올바이오파마,KOSPI
450,009440,KC그린홀딩스,KOSPI
451,009450,경동나비엔,KOSPI
452,009460,한창제지,KOSPI
453,009470,삼화전기,KOSPI
454,009520,포스코엠텍,KOSDAQ
455,009540,현대중공업,KOSPI
456,009580,무림P&P;,KOSPI
457,009620,삼보산업,KOSDAQ
458,009680,모토닉,KOSPI
459,009730,DS제강,KOSDAQ
460,009770,삼정펄프,KOSPI
461,009780,엠에스씨,KOSDAQ
462,009810,엔케이물산,KOSPI
463,009830,한화케미칼,KOSPI
464,009835,한화케미칼우,KOSPI
465,009970,영원무역홀딩스,KOSPI
466,010040,한국내화,KOSPI
467,010050,금호종금,KOSPI
468,010060,OCI,KOSPI
469,010100,한국프랜지,KOSPI
470,010120,LS산전,KOSPI
471,010130,고려아연,KOSPI
472,010140,삼성중공업,KOSPI
473,010145,삼성중공우,KOSPI
474,010170,대한광통신,KOSDAQ
475,010240,흥국,KOSDAQ
